ROI,tvalue,pvalue,fdr-pvalue
A8m_L,1.8831299520366391,0.06010073080534435,0.10713608534865732
A8m_R,2.6612918101417713,0.007964194347048899,0.03908267151029072
A8dl_L,2.4183405971764245,0.015847871718854156,0.051397610872425635
A8dl_R,2.685746228145239,0.00740980415056034,0.03720024124567028
A9l_L,2.575120562600372,0.010226465115284864,0.0441352704975452
A9l_R,2.2716041594703396,0.02341575063359656,0.06139632344153199
A6dl_L,3.7307075137502252,0.0002065494960983572,0.005542771583168712
A6dl_R,2.7055925166627657,0.006985654231430962,0.03580147793608368
A6m_L,2.76074702499951,0.005919251845647064,0.032658255896194116
A6m_R,1.8594010987850784,0.0633932959615734,0.10995674644512952
A9m_L,2.022531136867782,0.04350455362779481,0.08772229665932396
A9m_R,2.040998929532384,0.04162875329539423,0.08693003927462807
A10m_L,2.5238278571955384,0.011830537333148037,0.04636740937365959
A10m_R,1.6661373092355491,0.09613731658128201,0.14424808806566622
A9/46d_L,3.902314818625409,0.0001045580212166009,0.004429791142658379
A9/46d_R,3.1484610079337085,0.0017116660911901903,0.017361426637411477
IFJ_L,1.592809061122926,0.11165836157952003,0.161176063522003
IFJ_R,2.2566631592890163,0.024339407470286133,0.06272311132150543
A46_L,1.912216417346207,0.05625986208674335,0.10271275100567484
A46_R,2.4881165196409065,0.013075695346552226,0.04873668265533102
A9/46v_L,1.6742033026268563,0.09454121275905741,0.14356258233782793
A9/46v_R,1.202652624596829,0.22952092074825106,0.2754251048979013
A8vl_L,3.107674322318918,0.0019626323988054667,0.017361426637411477
A8vl_R,2.8590857605963405,0.004376126841075844,0.02801826483282601
A6vl_L,2.421698617634228,0.015703441744262706,0.051397610872425635
A6vl_R,2.8067878412363694,0.005144178220568439,0.0316366960564959
A10l_L,2.756420781669461,0.005997248998862123,0.032658255896194116
A10l_R,2.0973741313295617,0.03632166127771873,0.08030422508660424
A44d_L,2.5960153876413172,0.0096307101247606,0.04307553983074741
A44d_R,2.5486983124675064,0.011026771115941886,0.04578808140630482
IFS_L,1.6743466047793893,0.09451304964814053,0.14356258233782793
IFS_R,1.3711874325214723,0.1707597421956602,0.22108892936911795
A45c_L,1.9136297626044263,0.0560785711322205,0.10271275100567484
A45c_R,2.2334017957971644,0.025840413932563495,0.06553342090114041
A45r_L,1.4147775959287734,0.15758222504863834,0.2061980178827927
A45r_R,1.606676915437174,0.10858011939813501,0.15899231769012626
A44op_L,1.7296673976729826,0.08413434189733178,0.1351144644701404
A44op_R,2.6554295924155666,0.008102505069206612,0.03908267151029072
A44v_L,2.389602916791542,0.01713253695747521,0.051397610872425635
A44v_R,2.4481713672392353,0.014604892961102744,0.051397610872425635
A14m_L,2.760613100462577,0.005921652541927551,0.032658255896194116
A14m_R,1.9926649589041083,0.046689373940970336,0.09043768495652522
A12/47o_L,2.2230576633812835,0.02653326180455292,0.06583666839065994
A12/47o_R,0.66998758783423,0.5030885626011738,0.5334473551719343
A11l_L,1.797401877195317,0.07270645335997696,0.12084991571996169
A11l_R,0.6319587393733371,0.5276219568833924,0.5523191548651682
A11m_L,1.0007759133721796,0.31728396251888924,0.36303188269603137
A11m_R,1.90541519708311,0.05713911216018768,0.10335457052504536
A13_L,0.9849070883514276,0.3250129485735457,0.37015363587542705
A13_R,0.09347596153430557,0.9255524247814837,0.9255524247814837
A12/47l_L,0.29752055931992794,0.7661581506547583,0.7853121044211273
A12/47l_R,1.6659963931457964,0.09616539204377747,0.14424808806566622
A4hf_L,2.060005147591275,0.039770372092768264,0.08434061667949132
A4hf_R,3.0247258314557706,0.0025804626496132065,0.019837306618901523
A6cdl_L,2.3008157853282487,0.021697638004365867,0.058655153286527505
A6cdl_R,1.8043392278733976,0.07161156600655935,0.11983976352118096
A4ul_L,2.0720176611581627,0.0386325843273129,0.08343633754660089
A4ul_R,0.8748693508379586,0.38194766124164614,0.42134136621275764
A4t_L,2.5680555753072083,0.010435216998989909,0.04425971347847444
A4t_R,2.770376982842954,0.005748914668652964,0.032658255896194116
A4tl_L,1.5911241323237546,0.11203701976529476,0.161176063522003
A4tl_R,1.6177669751630865,0.10616720687823676,0.15639001731764218
A6cvl_L,1.1297935788308058,0.2589535463685326,0.3033455828888525
A6cvl_R,2.34632404071722,0.0192400002099162,0.05543343067021376
A1/2/3ll_L,1.688304113704958,0.0918021197434794,0.14293241428415146
A1/2/3ll_R,2.0330621011339494,0.042426328628869484,0.08693003927462807
A4ll_L,1.5553354184064576,0.12032209042814958,0.16913848140185597
A4ll_R,1.5956687543565464,0.111018012620576,0.161176063522003
A38m_L,2.4184524739275974,0.015843041060539416,0.051397610872425635
A38m_R,0.6959000661689045,0.486724388463185,0.5183298682335217
A41/42_L,0.7685472340948069,0.4424235854663866,0.47526725774991746
A41/42_R,1.3649425912087452,0.1727134277464977,0.22145648715347366
TE1.0/TE1.2_L,0.9787005894673726,0.328068977494259,0.3719122970672245
TE1.0/TE1.2_R,1.9463381980369618,0.052017336985798024,0.09843280691158703
A22c_L,1.7187417377644663,0.08610736915348503,0.1366604617563938
A22c_R,1.5601843540971878,0.11917219367569515,0.16913848140185597
A38l_L,2.954933538907379,0.0032332847152495244,0.02339376588092303
A38l_R,0.8196205008091516,0.41271386924545406,0.4492372205061137
A22r_L,2.497888226288538,0.012723931797433882,0.04815518803336515
A22r_R,2.4267133214610666,0.01548991737699422,0.051397610872425635
A21c_L,3.2291173017936288,0.0013002318238633304,0.017361426637411477
A21c_R,3.064423250597724,0.002265407126902527,0.017977101716710377
A21r_L,2.885315774087277,0.004031535997834531,0.027548829318535965
A21r_R,1.8544965182738733,0.06409214675615596,0.11025642029380675
A37dl_L,1.9396402074550447,0.05282829470132019,0.09920427859942571
A37dl_R,2.1752888707465123,0.029945319659587334,0.07138940876253996
aSTS_L,3.5046727563583975,0.0004865426186881803,0.009974123683107695
aSTS_R,2.859712855651202,0.004367585636130927,0.02801826483282601
A20iv_L,2.2708704953362346,0.02346038375408133,0.06139632344153199
A20iv_R,3.013295729795862,0.0026783508782652985,0.019965888365250407
A37elv_L,1.333266083143781,0.18288196672149995,0.23190187532726284
A37elv_R,1.0453829245203248,0.29620999415172644,0.342101683386501
A20r_L,2.1700683380511867,0.030340184164847968,0.07138940876253996
A20r_R,2.3417202816161815,0.019477018140036082,0.05543343067021376
A20il_L,1.7157030076458626,0.08666273184551802,0.1366604617563938
A20il_R,1.7746541744342637,0.0763933052642483,0.12529274851122865
A37vl_L,1.9143432024187796,0.05598724294679481,0.10271275100567484
A37vl_R,1.5763633552610314,0.1153977909632622,0.1650456777730378
A20cl_L,1.8605387484595342,0.06323209771287895,0.10995674644512952
A20cl_R,1.2215476053860213,0.22229353412682043,0.26805984997645993
A20cv_L,0.15022559193272184,0.8806302847819121,0.8915022636063802
A20cv_R,1.5285236771972694,0.12683820213080804,0.1723878327302695
A20rv_L,2.0140039467611905,0.04439453331473242,0.08807302576954981
A20rv_R,1.5560141625865795,0.12016060819580031,0.16913848140185597
A37mv_L,0.9686700907377184,0.3330472745574896,0.374107897448139
A37mv_R,1.176418587551204,0.23983100512344688,0.28637070972156947
A37lv_L,1.7449614758090235,0.08143419720077749,0.13266763252576996
A37lv_R,1.621018077472878,0.10546798523359388,0.1562959299244825
A35/36r_L,2.3392642517018385,0.019604505968734132,0.05543343067021376
A35/36r_R,2.522508943485625,0.011874580449351847,0.04636740937365959
A35/36c_L,0.1535498320213587,0.8780093325415435,0.8915022636063802
A35/36c_R,-0.7309016901742441,0.4650858869918937,0.49743968782611236
TL_L,2.603325550809216,0.009429723088510106,0.042957627403212705
TL_R,2.1069661816751792,0.03547878257422695,0.08030422508660424
A28/34_L,0.8522434791099299,0.3943729700407713,0.4331060295983471
A28/34_R,1.447602993195251,0.14817968308422944,0.19493156170438738
TI_L,1.2542284558816696,0.21018125217038805,0.25852294016957733
TI_R,3.550938138497234,0.0004097942840167369,0.009164490351647025
TH_L,3.3734090992858268,0.0007836862601021055,0.01285245466567453
TH_R,1.287171653803796,0.19846358648483312,0.24533689585562285
rpSTS_L,2.625980932755303,0.00883043452362317,0.040986545147383015
rpSTS_R,1.8431227548182887,0.06573734434764793,0.11230129659389855
cpSTS_L,2.0638804096662824,0.039400245037074115,0.08428226329669768
cpSTS_R,2.2196811725919767,0.02676287332953656,0.06583666839065994
A7r_L,3.352573353159084,0.0008440929585726927,0.01297792923805515
A7r_R,2.4261889126408374,0.015512126000491355,0.051397610872425635
A7c_L,1.1668415018890055,0.2436751631570874,0.2881927410415553
A7c_R,0.5892157029541097,0.5559083300675743,0.5773230267980889
A5l_L,1.8081596384893586,0.07101441392955965,0.11965442347035393
A5l_R,2.355544374154036,0.018772890331689173,0.05543343067021376
A7pc_L,2.407338062980279,0.016329330779492546,0.051397610872425635
A7pc_R,1.532594141305534,0.12583159177063197,0.1723878327302695
A7ip_L,1.9988724217457674,0.04601171358676991,0.08983239319321745
A7ip_R,1.552241931819254,0.12106022922236404,0.16920918402671337
A39c_L,2.104562880012786,0.03568838118983597,0.08030422508660424
A39c_R,1.9554280602683893,0.050933497563204796,0.09712899535308821
A39rd_L,1.9616352218274715,0.050204322565279506,0.09648643243014654
A39rd_R,2.40255299312181,0.016542707979525045,0.051397610872425635
A40rd_L,2.1956908140490836,0.02844434923893502,0.06860107757625505
A40rd_R,0.6430505644377227,0.5204036934457053,0.5470910623403569
A40c_L,2.1007457547931088,0.03602345877569159,0.08030422508660424
A40c_R,2.504569595629004,0.012488271538798192,0.04800179372725555
A39rv_L,3.985731164306335,7.439429948946301e-05,0.004429791142658379
A39rv_R,2.0097222947873314,0.04484718343365646,0.0882592569974359
A40rv_L,1.2884278585843465,0.1980264346778853,0.24533689585562285
A40rv_R,0.9338712927283502,0.3506950869446481,0.39214086994719743
A7m_L,1.3800930397586653,0.16800240452355186,0.21866979636398814
A7m_R,1.6445776264563128,0.10050979663900853,0.1498509695345218
A5m_L,1.7746256812535306,0.07639801738489552,0.12529274851122865
A5m_R,2.0167315193841993,0.04410819753241172,0.08807302576954981
dmPOS_L,1.487198617791567,0.13741653925414551,0.1834483570087358
dmPOS_R,1.1475122274195888,0.2515654038017232,0.29610090591016225
A31_L,3.1947867299127566,0.0014626793270207054,0.017361426637411477
A31_R,2.3044871888554144,0.021489677398793827,0.058655153286527505
A1/2/3ulhf_L,1.2383552004731933,0.21600310298709044,0.2643620066409167
A1/2/3ulhf_R,1.858853790559644,0.06347096746019672,0.10995674644512952
A1/2/3tonIa_L,0.8812436354986741,0.378491055464675,0.419409007406802
A1/2/3tonIa_R,0.9051316137975911,0.3657097756273352,0.4070796597480745
A2_L,0.8348702815083232,0.4040780478642425,0.44179199899823846
A2_R,0.14384756225979115,0.8856626026780716,0.8929221322082198
A1/2/3tru_L,1.3645268381023032,0.17284408753441846,0.22145648715347366
A1/2/3tru_R,1.6849143367585515,0.09245468108585102,0.14304309149131667
G_L,1.2326730044794028,0.21811519506032037,0.265625435568509
G_R,1.5367386697911074,0.12481308495663503,0.1723878327302695
vIa_L,3.1782874700644057,0.0015472452612973306,0.017361426637411477
vIa_R,3.8223530428573578,0.0001440582485417359,0.004429791142658379
dIa_L,1.810773986959701,0.07060813885446317,0.11965442347035393
dIa_R,2.5337484179131664,0.011503882119449407,0.04636740937365959
vId/vIg_L,3.0961500874087546,0.002039442290475738,0.017361426637411477
vId/vIg_R,2.0946820507618247,0.03656127321016128,0.08030422508660424
dIg_L,2.4617630004775144,0.014067703728317525,0.051397610872425635
dIg_R,1.6815637837498536,0.0931033548365939,0.14314640806126314
dId_L,1.9113848704465244,0.05636675360067522,0.10271275100567484
dId_R,2.429376847300848,0.015377549896520473,0.051397610872425635
A23d_L,3.090248994121736,0.0020798347319422603,0.017361426637411477
A23d_R,3.9077518448265,0.0001022831949968884,0.004429791142658379
A24rv_L,2.782627332359034,0.005538633718671718,0.032658255896194116
A24rv_R,3.4586209211518324,0.0005761159968178529,0.010123181086942271
A32p_L,1.8747970245969445,0.06124042092662019,0.1083823276830832
A32p_R,2.7432959407963207,0.006239585476102129,0.032658255896194116
A23v_L,3.109203717529808,0.0019526413476854624,0.017361426637411477
A23v_R,2.7448191133453697,0.0062110155072998205,0.032658255896194116
A24cd_L,3.1223201545635035,0.0018688579047136343,0.017361426637411477
A24cd_R,3.302307281982441,0.0010080849227411984,0.014587581823196165
A23c_L,1.7298825689882495,0.08409585618916607,0.1351144644701404
A23c_R,2.035102002353092,0.042220111219752304,0.08693003927462807
A32sg_L,1.7023911716273203,0.08912987252264035,0.1396557238252836
A32sg_R,2.634358848891705,0.00861760547802832,0.04076790283836475
cLinG_L,1.3382888920444111,0.1812405678312557,0.23101129371237772
cLinG_R,1.0808643616844515,0.2801329058841509,0.32660044951422335
rCunG_L,1.3015816408909164,0.1934913274387481,0.24161861192858902
rCunG_R,1.4514952866177517,0.1470938722840833,0.19454350850475532
cCunG_L,0.1247746753659197,0.9007380691842519,0.9044145510992897
cCunG_R,0.6588743293709757,0.5101950093757818,0.5386608253495379
rLinG_L,2.3177019805027963,0.020755475904244824,0.057369068229710406
rLinG_R,1.3113843309063702,0.1901616388904464,0.23867226105637662
vmPOS_L,2.2544748608128673,0.02447731173522163,0.06272311132150543
vmPOS_R,2.392381706073982,0.017004437699260428,0.051397610872425635
mOccG_L,1.5302990289209903,0.12639839467448769,0.1723878327302695
mOccG_R,1.0241648346004244,0.30611427594265384,0.3518883732798731
V5/MT+_L,2.4126037269935527,0.016097327001906536,0.051397610872425635
V5/MT+_R,1.4851463582471305,0.13795913027079726,0.1834483570087358
OPC_L,1.4889734284963776,0.13694863324605416,0.1834483570087358
OPC_R,0.9742480166436654,0.3302728590745909,0.37269322629518054
iOccG_L,0.22251822146363526,0.8239759599921834,0.8410708969214818
iOccG_R,0.5887784955029497,0.5562014526469393,0.5773230267980889
msOccG_L,2.0716646603534477,0.03866561983866871,0.08343633754660089
msOccG_R,2.34260066660263,0.019431496083678126,0.05543343067021376
lsOccG_L,2.1021937330435465,0.03589603620488583,0.08030422508660424
lsOccG_R,1.3168863256095618,0.18831140120556786,0.23756207536702406
mAmyg_L,2.3235729733312476,0.020436382688756763,0.05712897887993368
mAmyg_R,1.535488889806128,0.1251195343374005,0.1723878327302695
lAmyg_L,1.2293463058680103,0.2193586231044585,0.265823750165994
lAmyg_R,2.2226890058940434,0.026558248406149714,0.06583666839065994
rHipp_L,2.211251444144524,0.027343639479997385,0.06659935952553818
rHipp_R,2.278672002740605,0.022989541676723218,0.06139632344153199
cHipp_L,1.8996630050520829,0.05789165888996892,0.10395144589001719
cHipp_R,2.0307598170677585,0.04266009576509163,0.08693003927462807
vCa_L,0.7913623101532063,0.429002970802825,0.4628716263925217
vCa_R,1.1735685626613417,0.24097047525351578,0.28637070972156947
GP_L,2.1683505446095492,0.030471089105962176,0.07138940876253996
GP_R,2.4261024236558866,0.015515791490528504,0.051397610872425635
NAC_L,1.0484079320150963,0.29481566938296305,0.3420974276802307
NAC_R,0.37972153492433536,0.7042683005267609,0.7248954055631096
vmPu_L,1.5152711897042013,0.13015904858700603,0.1759292634747444
vmPu_R,1.7271601075122993,0.08458385174147,0.1351144644701404
dCa_L,0.7968933976690302,0.4257854796445266,0.4614239118614694
dCa_R,0.4061861070837401,0.6847310746019899,0.7077472451768466
dlPu_L,2.029796109673371,0.04275827135052844,0.08693003927462807
dlPu_R,2.402305777811612,0.016553798242072846,0.051397610872425635
mPFtha_L,3.990681026970541,7.289271443213775e-05,0.004429791142658379
mPFtha_R,3.8730582175411232,0.0001176432214492383,0.004429791142658379
mPMtha_L,3.0848765031946934,0.0021172471509038385,0.017361426637411477
mPMtha_R,3.16329563144624,0.0016279749240052464,0.017361426637411477
Stha_L,3.0919386249090626,0.0020681948661277275,0.017361426637411477
Stha_R,3.7083002513633585,0.0002253159180149883,0.005542771583168712
rTtha_L,2.392067191828221,0.01701889407859233,0.051397610872425635
rTtha_R,2.5764381540859,0.010187948526224141,0.0441352704975452
PPtha_L,3.842873459218804,0.0001327564012648767,0.004429791142658379
PPtha_R,2.544219512520142,0.011167824733245077,0.04578808140630482
Otha_L,2.8542921528351797,0.0044419200344724165,0.02801826483282601
Otha_R,2.1181307832339713,0.034518835339270845,0.08010974993830781
cTtha_L,3.4686932878008117,0.0005553010461291051,0.010123181086942271
cTtha_R,3.1318482664124305,0.0018100847777934182,0.017361426637411477
lPFtha_L,3.8517297424658694,0.00012814202655523027,0.004429791142658379
lPFtha_R,2.90748766117555,0.0037597139145479318,0.026425417799394037
